Customer_ID,Test_Group,Initial_Discount,Initial_ARR,Discounted_ARR,Renewal_Status,Customer_Segment
1,A,10.0,14363.50,12927.15,1,Small
2,A,10.0,28767.86,25891.07,1,Enterprise
3,A,10.0,23299.85,20969.86,1,Mid
4,A,10.0,19966.46,17969.82,0,Enterprise
5,A,10.0,8900.47,8010.42,1,Small
6,A,10.0,12239.11,11015.20,1,Mid
7,A,10.0,7748.21,6973.39,1,Small
8,A,10.0,22965.75,20669.17,1,Mid
9,A,10.0,21782.90,19604.61,0,Mid
10,A,10.0,24846.59,22361.93,1,Enterprise
11,A,10.0,23086.37,20777.73,1,Mid
12,A,10.0,11189.65,10070.68,1,Small
13,A,10.0,19141.49,17227.34,0,Mid
14,A,10.0,23678.96,21311.06,1,Mid
15,A,10.0,26814.73,24133.26,1,Enterprise
16,A,10.0,6114.76,5503.28,0,Small
17,A,10.0,19688.16,17719.34,1,Mid
18,A,10.0,12177.30,10959.57,1,Small
19,A,10.0,28441.97,25597.77,0,Enterprise
20,A,10.0,14674.83,13207.35,1,Mid
21,A,10.0,14732.25,13259.02,0,Mid
22,A,10.0,26084.77,23476.29,1,Enterprise
23,A,10.0,16541.28,14887.15,1,Mid
24,A,10.0,25061.64,22555.48,0,Enterprise
25,A,10.0,15456.91,13911.22,1,Mid
26,A,10.0,7242.02,6517.82,1,Small
27,A,10.0,14349.52,12914.57,1,Mid
28,A,10.0,18370.43,16533.39,0,Mid
29,A,10.0,12480.93,11232.84,1,Small
30,A,10.0,24424.31,21981.88,1,Enterprise
31,A,10.0,29624.77,26662.29,1,Enterprise
32,A,10.0,13123.64,11811.28,1,Mid
33,A,10.0,9197.80,8278.02,1,Small
34,A,10.0,13661.16,12295.04,1,Mid
35,A,10.0,19803.95,17823.55,0,Mid
36,A,10.0,20937.19,18843.47,0,Mid
37,A,10.0,19176.62,17258.96,1,Mid
38,A,10.0,28147.28,25332.55,0,Enterprise
39,A,10.0,22756.91,20481.22,1,Mid
40,A,10.0,17255.48,15529.93,1,Mid
